tanth          M1coeff        M2coeff        lam1           lam2           lam3           lam4           lam5           m3             m5             mH             vDelta         vphi           mu2sq          mu3sq          
0.00112        1.35588        -12.12928      0.03235        1.15559        -0.19311       0.33102        -1.7337        397.50937      229.98932      458.88209      0.09759        246.21985      -7843.70415    -34659.19602   
0.00692        18.29879       14.74092       0.03239        0.55659        -0.40195       0.4051         -0.41624       669.27187      650.21205      678.59476      0.6022         246.21411      -7839.83261    367856.44192   
0.00233        0.90087        -22.50662      0.03235        0.83814        1.32099        -0.37947       -0.40921       234.29382      173.29456      259.47114      0.20288        246.21933      -7844.04049    -59160.8274    
0.00176        3.01578        27.93152       0.03235        0.32305        -0.19025       0.62163        -2.00524       488.24083      341.8533       546.93357      0.15278        246.21962      -7843.43196    138451.6548    
0.00117        0.38157        29.40523       0.03235        1.77992        0.1099         0.07494        2.94859        382.32261      570.0546       238.274        0.10183        246.21983      -7843.75171    19753.82513    
0.00966        7.01462        11.62209       0.03236        0.1217         0.37846        0.17788        -0.64852       326.71558      259.88489      355.44681      0.84109        246.20851      -7840.13429    72378.40526    
0.00509        6.989          2.81402        0.03235        1.23963        -0.44114       0.60809        -2.56449       401.63903      76.53525       488.9155       0.44311        246.21681      -7842.49424    -66716.53323   
0.00142        1.59923        0.95597        0.03235        0.09678        -0.07915       0.11437        0.18688        449.13214      461.57353      442.78044      0.12363        246.21975      -7843.80602    195650.27601   
0.00564        14.43798       -6.61698       0.03235        1.52511        -0.15344       0.23661        -4.67563       551.01717      141.85637      667.34905      0.49135        246.21608      -7838.76522    -23045.17371   
0.00293        6.43826        21.55614       0.03236        0.05517        -0.15069       0.52233        -0.23606       613.06737      601.33465      618.85069      0.25477        246.21895      -7843.68036    362036.31805   
0.01103        27.27614       -2.50719       0.03235        1.14095        -0.11629       0.2905         -3.96667       557.19171      264.47649      656.2543       0.95983        246.20503      -7822.37193    51862.23394    
0.00276        6.46517        3.41474        0.03235        0.97112        -0.98962       1.04205        -0.42645       628.44991      607.53817      638.64771      0.24024        246.21906      -7842.87881    264278.16932   
0.00767        16.03995       -5.29877       0.03237        0.78868        -0.44162       0.6195         -0.8666        581.0608       533.88557      603.25519      0.66805        246.21275      -7836.88346    215700.34501   
0.00353        8.47146        -20.8356       0.03236        0.44196        -0.09868       0.49719        1.12343        672.27137      721.09124      646.48137      0.30724        246.21847      -7844.15206    432371.02852   
0.00513        7.31263        -27.20504      0.03236        0.94591        0.20182        -0.06283       1.35233        537.61382      608.98057      498.10732      0.44683        246.21676      -7843.14522    215251.77792   
0.00723        8.96443        5.74458        0.03235        1.19526        -0.30499       0.39527        -0.65477       442.77696      395.46266      464.61718      0.6293         246.21357      -7839.12881    31299.04112    
0.00939        4.22107        13.40397       0.03237        0.33928        1.47277        -0.416         0.52941        307.06258      355.68354      279.60429      0.81768        246.20914      -7843.97389    69256.81791    
0.01006        21.30112       9.69997        0.03235        0.91061        -0.22176       0.36996        -3.59067       509.72023      205.49746      607.10254      0.87573        246.20754      -7828.60527    40607.77542    
0.01009        26.48626       21.41716       0.0324         1.62837        -0.05415       0.22557        0.16416        679.72921      687.13989      675.96254      0.87829        246.20747      -7828.61692    269653.79739   
0.00674        12.55907       -5.07094       0.03237        0.85977        -1.10362       1.10794        0.21113        575.32924      586.30114      569.75883      0.5864         246.21441      -7840.27883    233126.17375   
0.00194        3.08136        6.66505        0.03235        -0.06144       0.15793        0.2089         -0.21243       520.13615      507.61772      526.28396      0.16861        246.21954      -7843.80363    271557.54949   
0.00518        12.35297       4.59346        0.03238        0.62489        -0.75613       0.98457        1.33289        675.03756      732.45509      644.41505      0.45084        246.2167       -7844.2707     420310.80862   
0.00964        25.04124       5.10551        0.03238        0.95054        1.0464         -0.27596       -1.97886       626.24024      521.76803      672.3904       0.83936        246.20855      -7827.9728     216946.65967   
0.00143        1.10772        14.56715       0.03235        0.43422        1.08106        -0.28733       1.4907         423.98359      519.76543      366.83156      0.12475        246.21975      -7843.92957    172310.37925   
0.00594        11.7118        26.1469        0.03235        0.95568        0.15688        0.21211        -1.95205       532.80338      407.05607      585.62837      0.51743        246.21565      -7838.75328    108910.26475   
0.0034         7.00765        -12.4929       0.03235        1.32524        0.14082        0.22816        0.07923        600.84172      604.7855       598.85712      0.29617        246.21858      -7842.38508    202704.10471   
0.00687        5.04378        -13.52659      0.03235        0.76632        0.63799        -0.07302       0.37146        372.91583      401.84926      357.56434      0.59812        246.21419      -7841.5427     57358.90214    
0.00584        6.82613        18.46344       0.03235        0.54111        -0.49826       0.81978        -0.78973       423.9373       363.25342      451.22532      0.50799        246.21581      -7841.13418    90226.78677    
0.00328        5.10998        10.658         0.03235        1.02289        0.40862        0.05718        1.12366        552.32777      610.91722      520.56463      0.28578        246.21867      -7843.28158    215118.32148   
0.0029         6.81774        12.54717       0.03236        0.48944        0.00241        0.47926        0.39493        649.37864      667.58461      640.08143      0.2522         246.21897      -7843.55204    374335.37256   
0.00095        1.5944         4.38109        0.03235        0.52582        -0.69935       0.84016        -3.02431       449.17288      135.69787      541.68928      0.08235        246.21989      -7843.67241    46330.10528    
0.01077        27.90246       16.62767       0.03239        0.53761        0.91327        -0.05003       -2.65543       608.65769      457.87538      671.44297      0.93777        246.20571      -7824.48038    224852.75036   
0.00974        6.6195         22.33543       0.03237        0.02261        0.29092        0.149          -0.64957       314.02143      243.83005      343.78299      0.84807        246.20832      -7840.88963    76282.46644    
0.00635        5.49084        -8.1734        0.03236        0.29548        -0.45386       0.69713        -0.00296       387.83545      387.52482      387.99097      0.55293        246.21503      -7842.71369    114466.34597   
0.00053        1.47621        -0.90099       0.03235        -0.07486       0.46531        0.17703        -0.02322       692.83394      691.81684      693.34196      0.04654        246.21996      -7843.78733    488391.2902    
0.00753        8.56991        15.36002       0.03238        0.57059        -0.53418       0.82378        0.6661         467.40193      508.87195      445.22137      0.65509        246.21303      -7842.65466    169519.71252   
0.00449        9.08391        1.14672        0.03235        1.38311        0.11023        0.24331        -3.87183       484.51927      6.12368        593.39182      0.39099        246.21752      -7841.61182    -50301.47359   
0.00661        2.54475        15.40433       0.03235        0.9155         0.70507        -0.11814       -0.11554       251.94663      237.86218      258.70347      0.57583        246.21461      -7845.18718    -50973.24235   
